,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned
ASV_2,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned
ASV_3,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis
ASV_4,Eukaryota,Chordata,Actinopteri,unassigned,unassigned,unassigned,unassigned
ASV_5,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_6,Eukaryota,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201
ASV_7,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878
ASV_8,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_9,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,unassigned
ASV_10,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,unassigned
ASV_11,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani
ASV_12,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea
ASV_13,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_14,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_15,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned
ASV_16,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_17,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_18,Eukaryota,unknown,unknown,unknown,unknown,unknown,phototrophic eukaryote
ASV_19,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia australis
ASV_20,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned
ASV_21,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,unassigned
ASV_22,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_23,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned
ASV_24,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,unassigned
ASV_25,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_26,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_27,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_28,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_29,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_30,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_31,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum
ASV_32,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_33,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_34,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_35,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_36,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_37,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. UNC1415
ASV_38,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_39,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_40,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_41,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_42,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,unassigned,unassigned,unassigned
ASV_43,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum
ASV_44,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned
ASV_45,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_46,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus curvatulus
ASV_47,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
ASV_48,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_49,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_50,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_51,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unassigned
ASV_52,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_53,Eukaryota,unknown,Dinophyceae,unknown,unknown,Spiniferites,Spiniferites ramosus
ASV_54,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_55,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta
ASV_56,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium crassipes
ASV_57,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_58,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned
ASV_59,Eukaryota,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,unassigned
ASV_60,no_hit,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no_hit
ASV_61,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_62,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. UDMS0803
ASV_63,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_64,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros debilis
ASV_65,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_66,Eukaryota,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_67,Eukaryota,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,unassigned
ASV_68,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unassigned
ASV_69,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata
ASV_70,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum
ASV_71,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_72,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_73,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_74,Eukaryota,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned
ASV_75,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_76,Eukaryota,unknown,unknown,unknown,unknown,unknown,eukaryote clone OLI11305
ASV_77,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,g_,s_
ASV_78,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera
